,course_id,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,year
656,600316,"High-Frequency Trading #1: Basics, History & Strategies",True,50,2222,24,11,All Levels,0.6,Business Finance,2015
657,1136912,Financial Accounting - The Ultimate Beginner Course,True,100,9,2,101,Beginner Level,10.0,Business Finance,2017
658,239416,Level 1 2014 CFA® Program – Derivatives,True,40,225,2,17,All Levels,2.5,Business Finance,2014
659,722274,The Complete Investing Guide: How to Beat Wall Street,True,50,13,3,25,All Levels,5.5,Business Finance,2016
660,201942,"Bitcoins - Past, Present, Future",True,20,373,3,14,Beginner Level,1.5,Business Finance,2014
661,355798,Learn Accounting by Specific Examples - Part 1,True,50,306,0,5,All Levels,0.6333333333333333,Business Finance,2014
662,702800,Forex: Presentation and  Analysis (Fundamental & Technical),True,50,14,3,22,Beginner Level,1.5,Business Finance,2016
663,425126,Year-end QuickBooks Procedures,True,20,51,2,10,Beginner Level,2.0,Business Finance,2015
664,1013838,Price Action Gap Trading Strategies,True,20,13,2,5,Intermediate Level,1.0,Business Finance,2016
665,867682,How to start a successful career in finance?,False,0,1318,7,27,All Levels,2.0,Business Finance,2016
666,239268,Level 1 2014 CFA® Program – Equity Investments,True,40,347,0,24,All Levels,4.5,Business Finance,2015
667,361286,Wealth Management,True,30,274,1,21,All Levels,3.5,Business Finance,2014
668,1036456,Basics of Private Equity,True,60,9,2,6,Intermediate Level,0.6666666666666666,Business Finance,2017
669,617976,Curso Completo del Mercado FOREX,True,200,359,86,50,All Levels,5.5,Business Finance,2015
670,196620,Como Investir em Ações para Iniciantes,False,0,6024,890,18,All Levels,1.0,Business Finance,2014
671,667332,Robots de Forex: espere ganar 175%p.a! Incluye Robot de Fx! ,True,130,315,49,41,All Levels,5.0,Business Finance,2016
672,639126,６時間でインターバンク市場を攻略！最短距離でトレード基礎力,True,35,280,40,54,All Levels,4.0,Business Finance,2015
673,53211,Matemática Financeira de um jeito fácil,True,95,401,67,20,All Levels,1.5,Business Finance,2013
674,212952,ビットコイン生態系｜既存通貨が主役をやめる日,True,20,701,55,16,Beginner Level,1.5,Business Finance,2014
675,1151398,Trading Forex - Trader avec les figures harmoniques,True,90,57,11,23,Beginner Level,2.0,Business Finance,2017
676,1016420,Введение в Финансовую Инженерию,True,50,205,20,20,Beginner Level,5.0,Business Finance,2016
677,1178820,Aprenda a Investir no Tesouro Direto Passo a Passo,True,35,62,10,19,All Levels,1.0,Business Finance,2017
678,881778,資産運用の基礎を学ぶファイナンス入門,True,20,114,13,52,Beginner Level,4.0,Business Finance,2016
679,173462,Aprende a invertir y deja que tu dinero trabaje para ti,True,145,789,68,95,All Levels,14.0,Business Finance,2014
680,648174,Buchführung lernen leicht gemacht,True,40,446,39,70,Beginner Level,5.0,Business Finance,2016
681,517466,Day Trading: High ROI Day Trading ,True,150,17,2,51,Intermediate Level,6.5,Business Finance,2015
682,304422,Flow Management and Forecasting,True,20,16,2,10,All Levels,1.0,Business Finance,2014
683,177214,An Introduction to Management of Portfolios (MoP),True,20,117,15,6,Beginner Level,1.5,Business Finance,2014
684,73898,CFA Level I Workshop 1: Ethics and Quantitative Methods,True,20,147,4,5,All Levels,1.0,Business Finance,2013
685,671548,Accounting Basics 101 for Understanding Business,True,20,7,2,18,All Levels,1.0,Business Finance,2016
686,504620,Mortgage Acceleration,True,20,247,2,17,All Levels,1.5,Business Finance,2015
687,98706,Stock Market for Beginners. Learn to trade,True,35,143,15,42,All Levels,3.5,Business Finance,2013
688,364428,CFA Corporate Finance Level 1 (Part 1),True,180,621,1,107,All Levels,14.5,Business Finance,2014
689,560472,Trading Tips from Hedge Fund Manager,True,50,6,2,32,All Levels,1.0,Business Finance,2015
690,682986,Effective Debt Collection Strategies,True,40,5,2,16,Intermediate Level,1.5,Business Finance,2015
691,270844,IAS 1-Presentation of Financial Statements ,False,0,2674,81,8,All Levels,1.0,Business Finance,2014
692,507600,Stock Trading Strategies Using a D.A.R.T.,True,20,227,3,5,All Levels,1.0,Business Finance,2015
693,363078,Capital Structuring Techiques for CA / CFA / CPA Exams,True,125,4480,12,50,Intermediate Level,7.0,Business Finance,2014
694,933394,The Complete Guide to Forex Trading,True,20,1329,12,33,All Levels,5.0,Business Finance,2017
695,1090408,Learn How to Trade Binary Options Professionally,False,0,5144,169,7,All Levels,1.0,Business Finance,2017
696,707688,Learn How to Start Small and Make It Big In Small-Cap Stocks,True,50,2635,13,29,Beginner Level,2.0,Business Finance,2016
697,544176,Trading strategies with common sense technical analysis,True,75,1750,71,29,All Levels,3.0,Business Finance,2015
698,392478,Startup Business: How To Raise Seed Capital,True,95,3360,12,34,All Levels,3.0,Business Finance,2015
699,613422,Business Economics - Basics (College Level),True,50,3425,10,50,All Levels,4.0,Business Finance,2015
700,316750,Technical Analysis 101: Master the Basics of Trading,True,95,2688,61,50,All Levels,2.0,Business Finance,2015
701,884658,Investing in Stocks? Master The Art of Covered Calls Selling,True,80,1095,17,35,All Levels,3.0,Business Finance,2016
702,735550,How to Trade Binary Options Effectively – All Levels,True,195,1680,39,17,All Levels,1.0,Business Finance,2016
703,770486,Stock Market: The Zero Risk Way of Investing,True,25,2046,14,8,Beginner Level,0.6333333333333333,Business Finance,2016
704,543212,Forex Trading using professional indicators by TOP traders,True,200,1699,40,28,All Levels,3.5,Business Finance,2015
705,804298,Corporate Finance 101: Equity Valuation,True,50,1071,14,50,All Levels,6.0,Business Finance,2016
706,707054,Trading Strategies: Find The Trading Strategy That Fits You,True,20,1037,3,12,All Levels,2.0,Business Finance,2015
707,964828,Forex Trading - Learn An Effective Forex Trading Strategy,True,95,223,34,16,All Levels,1.5,Business Finance,2016
708,298522,Navigate the 10-K and Other Financial Reports,True,40,653,55,20,All Levels,2.5,Business Finance,2014
709,1196728,From 0 to 1: Investments and Portfolio Theory,True,50,230,0,22,Beginner Level,4.5,Business Finance,2017
710,255170,Bitcoin - The Complete Guide,True,20,2281,12,24,All Levels,5.5,Business Finance,2014
711,40670,Professional Trader's Mindset - Complete Forex Course,True,50,4702,17,6,All Levels,1.0,Business Finance,2013
712,737832,Bitcoin Peer Investing: How To Generate Double Digit Returns,True,25,366,45,41,All Levels,2.5,Business Finance,2016
